respID,qID,altID,obsID,profileID,type,sector,official_rank,size_corrupt,official_use,act_alone,official_gender
Ky8kEV,1,1,606,1161,Պաշտոնյան կաշառք է վերցնում,Խորհրդարան (ԱԺ),Ցածր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում քաղաքական թեկնածուների կամ կուսակցությունների համար,Կիսում է ստացված կաշառքը նույնաստիճան պաշտոնյաների հետ,Իգական
Ky8kEV,1,2,606,508,Պաշտոնյան հանրային ռեսուրսներ է յուրացնում,Հարկային մարմին,Ցածր պաշտոն զբաղեցնող պաշտոնյա,Փոքր գումար,Գումարի ստացում անձնական օգտագործման համար,Կիսում է ստացված կաշառքը իրենից բարձր պաշտոն զբաղեցնող պաշտոնյաների հետ,Արական
Ky8kEV,2,1,607,359,Պաշտոնյան կոռուպցիոն լավություններ է անում ընտանիքի անդամներին,Հարկային մարմին,Բարձր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում անձնական օգտագործման համար,Կիսում է ստացված կաշառքը նույնաստիճան պաշտոնյաների հետ,Արական
Ky8kEV,2,2,607,65,Պաշտոնյան օգտագործում է հանրային ռեսուրսները իր բիզնեսի օգտին,Առողջապահություն,Ցածր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում անձնական օգտագործման համար,Ստացված կաշառքը իրեն է պահում,Արական
Ky8kEV,3,1,608,1295,Պաշտոնյան օգտագործում է հանրային ռեսուրսները իր բիզնեսի օգտին,Առողջապահություն,Բարձր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում անձնական օգտագործման համար,Կիսում է ստացված կաշառքը իրենից բարձր պաշտոն զբաղեցնող պաշտոնյաների հետ,Իգական
Ky8kEV,3,2,608,1153,Պաշտոնյան հանրային ռեսուրսներ է յուրացնում,Իրավապահ մարմիններ,Ցածր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում քաղաքական թեկնածուների կամ կուսակցությունների համար,Կիսում է ստացված կաշառքը նույնաստիճան պաշտոնյաների հետ,Իգական
Ky8kEV,4,1,609,939,Պաշտոնյան կոռուպցիոն լավություններ է անում ընտանիքի անդամներին,Կրթություն,Բարձր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում քաղաքական թեկնածուների կամ կուսակցությունների համար,Ստացված կաշառքը իրեն է պահում,Իգական
Ky8kEV,4,2,609,350,Պաշտոնյան օգտագործում է հանրային ռեսուրսները իր բիզնեսի օգտին,Դատարաններ,Բարձր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում անձնական օգտագործման համար,Կիսում է ստացված կաշառքը նույնաստիճան պաշտոնյաների հետ,Արական
Ky8kEV,5,1,610,213,Պաշտոնյան հանրային ռեսուրսներ է յուրացնում,Առողջապահություն,Բարձր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում քաղաքական թեկնածուների կամ կուսակցությունների համար,Ստացված կաշառքը իրեն է պահում,Արական
Ky8kEV,5,2,610,933,Պաշտոնյան հանրային ռեսուրսներ է յուրացնում,Առողջապահություն,Բարձր պաշտոն զբաղեցնող պաշտոնյա,Մեծ գումար,Գումարի ստացում քաղաքական թեկնածուների կամ կուսակցությունների համար,Ստացված կաշառքը իրեն է պահում,Իգական
